StaffMemberID,FirstName,MiddleName,LastName,Title,BirthDate,HireDate,Email,Phone,MaritalStatus,Gender,BaseRate,DepartmentName,ManagerID
1,Guy,R,Gilbert,Production Technician - WC60,00:00.0,00:00.0,guy1@elevation-bikes.com,320-555-0195,M,M,12.45,Production,18
2,Kevin,F,Brown,Marketing Assistant,00:00.0,00:00.0,kevin0@elevation-bikes.com,150-555-0189,S,M,13.4615,Marketing,7
3,Roberto,NULL,Tamburello,Engineering Manager,00:00.0,00:00.0,roberto0@elevation-bikes.com,212-555-0187,M,M,43.2692,Engineering,14
4,Rob,NULL,Walters,Senior Tool Designer,00:00.0,00:00.0,rob0@elevation-bikes.com,612-555-0100,S,M,29.8462,Tool Design,3
5,Rob,NULL,Walters,Senior Tool Designer,00:00.0,00:00.0,rob0@elevation-bikes.com,612-555-0100,S,M,29.8462,Tool Design,3
6,Thierry,B,D'Hers,Tool Designer,00:00.0,00:00.0,thierry0@elevation-bikes.com,168-555-0183,M,M,25,Tool Design,267
7,David,M,Bradley,Marketing Manager,00:00.0,00:00.0,david0@elevation-bikes.com,913-555-0172,S,M,37.5,Marketing,112
8,David,M,Bradley,Marketing Manager,00:00.0,00:00.0,david0@elevation-bikes.com,913-555-0172,S,M,37.5,Marketing,112
9,JoLynn,M,Dobney,Production Supervisor - WC60,00:00.0,00:00.0,jolynn0@elevation-bikes.com,903-555-0145,S,F,25,Production,23
10,Ruth,Ann,Ellerbrock,Production Technician - WC10,00:00.0,00:00.0,ruth0@elevation-bikes.com,145-555-0130,M,F,13.45,Production,189
11,Gail,A,Erickson,Design Engineer,00:00.0,00:00.0,gail0@elevation-bikes.com,849-555-0139,M,F,32.6923,Engineering,3
12,Barry,K,Johnson,Production Technician - WC10,00:00.0,00:00.0,barry0@elevation-bikes.com,206-555-0180,S,M,13.45,Production,189
13,Jossef,H,Goldberg,Design Engineer,00:00.0,00:00.0,jossef0@elevation-bikes.com,122-555-0189,M,M,32.6923,Engineering,3
14,Terri,Lee,Duffy,Vice President of Engineering,00:00.0,00:00.0,terri0@elevation-bikes.com,819-555-0175,S,F,63.4615,Engineering,112
15,Sidney,M,Higa,Production Technician - WC10,00:00.0,00:00.0,sidney0@elevation-bikes.com,424-555-0189,M,M,13.45,Production,189
16,Taylor,R,Maxwell,Production Supervisor - WC50,00:00.0,00:00.0,taylor0@elevation-bikes.com,508-555-0165,M,M,25,Production,23
17,Jeffrey,L,Ford,Production Technician - WC10,00:00.0,00:00.0,jeffrey0@elevation-bikes.com,984-555-0185,S,M,13.45,Production,189
18,Jo,A,Brown,Production Supervisor - WC60,00:00.0,00:00.0,jo0@elevation-bikes.com,632-555-0129,S,F,25,Production,23
19,Doris,M,Hartwig,Production Technician - WC10,00:00.0,00:00.0,doris0@elevation-bikes.com,328-555-0150,M,F,13.45,Production,189
20,John,T,Campbell,Production Supervisor - WC60,00:00.0,00:00.0,john0@elevation-bikes.com,435-555-0113,M,M,25,Production,23
21,Diane,R,Glimp,Production Technician - WC10,00:00.0,00:00.0,diane0@elevation-bikes.com,202-555-0151,M,F,13.45,Production,189
22,Steven,T,Selikoff,Production Technician - WC30,00:00.0,00:00.0,steven0@elevation-bikes.com,925-555-0114,M,M,9.5,Production,177
23,Peter,J,Krebs,Production Control Manager,00:00.0,00:00.0,peter0@elevation-bikes.com,913-555-0196,M,M,24.5192,Production Control,112
24,Stuart,V,Munson,Production Technician - WC45,00:00.0,00:00.0,stuart0@elevation-bikes.com,413-555-0136,S,M,10,Production,201
25,Greg,F,Alderson,Production Technician - WC45,00:00.0,00:00.0,greg0@elevation-bikes.com,332-555-0150,S,M,10,Production,201
